name,recclass,mass,year,reclat,reclong,ID,MeteorClass,SecondClass,Group,Family,ChemGroup,PetroType,Breccia,PetroClass,MetaGrade,MarsType,Lithol,Melt,Other
Northwest Africa 7463,L6,400.19,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7476,L6,562.32,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7481,L6,45.5,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7491,L6,306.46,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7492,L6,808.77,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7504,L6,1680,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 751,L6,385.5,2000,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7530,L6,254,2003,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 754,L6,30000,2000,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 756,L6,20000,2000,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7560,L6,1302,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7563,L6,171,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7564,L6,520,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7582,L6,126,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7584,L6,195,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7587,L6,1877,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7588,L6,1963,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7591,L6,26,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
